id,nombre,rubro,marca,proveedor,precio
86,JABON DE TOCADOR CAMPOS DE ENSUEÑO - 3 UN,PERFUMERÍA,LIMOL,ALICORP ARGENTINA S.C.A.,7.89
87,JABON DE TOCADOR TE VERDE ALOE VERA - 3 UN,PERFUMERÍA,SUAVE,UNILEVER,8
88,JABON EN PAN ESFERAS ACTIVAS - 150 GR,LIMPIEZA,ZORRO,ALICORP ARGENTINA S.C.A.,4.2
89,JABON EN POLVO PARA LAVARROPAS  REGULAR - 800 GR,LIMPIEZA,QUERUBÍN,GRUPO QUERUCLOR,9.4
90,JABON EN POLVO PARA LAVARROPAS BAJA ESPUMA - 800 GR,LIMPIEZA,QUERUBÍN,GRUPO QUERUCLOR,9.4
91,JABON EN POLVO PARA LAVARROPAS BAJA ESPUMA - 800 GR,LIMPIEZA,ACE,PROCTER AND GAMBLE,14.54
92,JAMON COCIDO  - 1 KG,CARNES,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),90
93,"JUGO CONCENTRADO DE NARANJA - 1,5 LT",BEBIDAS,CARIOCA,COCA COLA FEMSA,7.75
94,"JUGO CONCENTRADO DE NARANJA - 1,5 LT",BEBIDAS,MOCORETÁ,RPB,7.5
95,JUGO SIN DILUIR DE NARANJA - 1 LT,BEBIDAS,CEPITA,COCA COLA FEMSA,9.5
96,JUGO SIN DILUIR DE NARANJA - 200 ML,BEBIDAS,BAGGIO,RPB,2.9
97,JUGOS EN POLVO ANANA -  GR,BEBIDAS,SER,AGUAS DANONE DE ARGENTINA S.A.,1.6
98,JUGOS EN POLVO MANZANA -  GR,BEBIDAS,SER,AGUAS DANONE DE ARGENTINA S.A.,1.6
99,JUGOS EN POLVO MULTIFRUTA - 25 GR,BEBIDAS,ARCOR,ARCOR,1.6
100,JUGOS EN POLVO NARANJA -  GR,BEBIDAS,SER,AGUAS DANONE DE ARGENTINA S.A.,1.6
101,JUGOS EN POLVO NARANJA DULCE -  GR,BEBIDAS,SER,AGUAS DANONE DE ARGENTINA S.A.,1.6
102,JUGOS EN POLVO NARANJA DURAZNO -  GR,BEBIDAS,SER,AGUAS DANONE DE ARGENTINA S.A.,1.6
103,LAVANDINA COMUN  - 1 LT,LIMPIEZA,AYUDÍN,CLOROX ARGENTINA S.A.,5.17
104,LAVANDINA CONCENTRADA  - 1 LT,LIMPIEZA,QUERUBÍN,GRUPO QUERUCLOR,4.59
105,LECHE COMUN DESCREMADA LIQUIDA SACHET - 1 LT,LÁCTEOS,LA SERENÍSIMA,MASTELLONE,7.2
106,LECHE COMUN DESCREMADA LIQUIDA SACHET - 1 LT,LÁCTEOS,SANCOR,SANCOR,7.2
107,LECHE COMUN ENTERA SACHET - 1 LT,LÁCTEOS,SANCOR,SANCOR,6.9
108,LECHE COMUN ENTERA ULTRAPASTEURIZADA (C/CALCIO VIT A/D B9 )  SACHETEN SACHET - 1 LT,LÁCTEOS,LA SERENÍSIMA,MASTELLONE,6.9
109,LECHE EN POLVO DESCREMADA PAQUETE - 400 GR,LÁCTEOS,NIDO,NESTLÉ ARGENTINA,29.9
110,LECHE EN POLVO ENTERA PAQUETE - 200 GR,LÁCTEOS,LA SERENÍSIMA,MASTELLONE,11.66
111,LECHE ENTERA LARGA VIDA U A T  - 1 LT,LÁCTEOS,MILKAUT,MILKAUT,8.36
112,LECHE ENTERA LARGA VIDA U A T  - 1 LT,LÁCTEOS,VERÓNICA,VERÓNICA S.A.,8.99
113,LECHUGA CRIOLLA - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),11
114,LENTEJAS SECAS REMOJADAS EN LATA - 300 GR,ALMACÉN,LA CAMPAGNOLA,ARCOR,11.29
115,LENTEJAS SECAS REMOJADAS EN LATA - 350 GR,ALMACÉN,INALPA,INALPA,8.75
116,LIMPIADOR FLORES DE NAR C/ MICROPARTICULAS - 375 GR,LIMPIEZA,CIF ,UNILEVER,6.99
117,LIMPIADOR DESENGRASANTE REPUESTO DOY PACK - 500 ML,LIMPIEZA,MR. MÚSCULO,S.C. JOHNSON Y SON DE ARG. S.A.,4.39
118,LIMPIADOR MULTIUSOS DOY PACK - 500 ML,LIMPIEZA,PROCENEX,RECKITT BENCKISER,5.14
119,MANTECA  - 200 GR,LÁCTEOS,MILKAUT,MILKAUT,10.9
120,MANTECA CALIDAD EXTRA VITAMINAS A Y E - 200 GR,LÁCTEOS,LA SERENÍSIMA,MASTELLONE,11.5
121,MANZANA ROJA - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),10.9
122,MARUCHA  - 1 KG,CARNES,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),36
123,MAYONESA COMÚN  - 500 CC,ALMACÉN,MENOYO,MENOYO S.A.,7.3
124,MAYONESA COMÚN SACHET - 485 GR,ALMACÉN,RI-K MAY DOYP,UNILEVER,7.9
125,MEDALLON CARNE VACUNA CONGELADA  276 GR - 4 UN,CARNES,SWIFT,JBS,18.8
126,MERMELADA DE CIRUELA FRASCO DE VIDRIO - 454 GR,ALMACÉN,ARCOR,ARCOR,14.55
127,MERMELADA DE DURAZNO FRASCO DE VIDRIO - 454 GR,ALMACÉN,CANALE,ALCO  CANALE ,13
128,PAN LACTAL BLANCO RODAJAS FINAS - 630 GR,PANIFICADOS,BIMBO,BIMBO DE ARGENTINA S.A.,14.5
129,PAN MIGNON PANADERÍA DEL SUPERMERCADO - 1 KG,PANIFICADOS,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),18.5
130,PAN RALLADO COMUN PAQUETE - 500 GR,PANIFICADOS,MAMÁ COCINA,MOLINOS CAÑUELAS,10.25
131,PAN RALLADO COMUN PAQUETE - 500 GR,PANIFICADOS,PREFERIDO,MOLINOS RÍO DE LA PLATA,10.9
132,PAÑALES DESCARTABLES PARA BEBES  ULTRA TRI PACK CHICO - 36 UN,PERFUMERÍA,BABY SEC,PAPELERA DEL PLATA,44.69
133,PAÑALES DESCARTABLES PARA BEBES  ULTRA TRI PACK EXTRA GRANDE - 24 UN,PERFUMERÍA,BABY SEC,PAPELERA DEL PLATA,44.69
134,PAÑALES DESCARTABLES PARA BEBES  ULTRA TRI PACK EXTRA-EXTRA GRANDE - 24 UN,PERFUMERÍA,BABY SEC,PAPELERA DEL PLATA,44.69
135,PAÑALES DESCARTABLES PARA BEBES  ULTRA TRI PACK GRANDE - 30 UN,PERFUMERÍA,BABY SEC,PAPELERA DEL PLATA,44.69
136,PAÑALES DESCARTABLES PARA BEBES  ULTRA TRI PACK MEDIANO - 36 UN,PERFUMERÍA,BABY SEC,PAPELERA DEL PLATA,44.69
137,PAÑALES DESCARTABLES PARA BEBES CANT. EXTRA GRANDE - 44 UN,PERFUMERÍA,PAMPERS BABYSAN,PROCTER AND GAMBLE,102
138,PAPA NEGRA - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),5.1
139,PAPEL HIGIENICO HOJA SIMPLE 4 ROLLOS DE 50 METROS CADA UNO - 50 MTRS,LIMPIEZA,HIGIENOL,PAPELERA DEL PLATA,12.74
140,PAPEL HIGIENICO HOJA SIMPLE 4 ROLLOS DE 80  - 320 MTRS,LIMPIEZA,CAMPANITA,CELULOSA CAMPANA,19.99
141,PASTA DENTAL EN CREMA O GEL  - 90 GR,PERFUMERÍA,KOLYNOS,COLGATE PALMOLIVE S.A.,6.55
142,PASTA DENTAL EN CREMA O GEL  - 90 GR,PERFUMERÍA,ODOL,COLGATE PALMOLIVE S.A.,4.85
143,PERA  - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),9.6
